PostID,Text,Keywords,TopicNum,TopicText,sentiment,sentiment_tag,polarity,polarity_tag,Likes,Hugs,Metoos,Overall
104591,That's it - the stapler is coming your way!!! HEADS UP,stapler coming heads ,3,day time work home house,N,N,N,N,360,32,28,420
265159,"I drink every night but I will never admit its a problem. I go to work every day, cook dinner every night and make sure the kids are taken care of. I guess I'm a functioning alcoholic?",drink night admit problem work day cook dinner night make kids care guess functioning alcoholic ,3,day time work home house,0.6,P,0,AGREEMENT,360,32,28,420
265154,Most days I love my dog more then my kids,days love dog kids ,3,day time work home house,0.8,P+,0,AGREEMENT,360,32,28,420
30361,I'm supposed to be working from home today but I'm watching TV instead. I'm soooooo lazy. Why can't I get my act together??,supposed working home today watching tv soooooo lazy act ,3,day time work home house,-0.6,N,0,AGREEMENT,176,17,193,386
73984,Some women get mad at their husbands for a mess left from yesterday or even last week. I call my husband Indiana Jones because his messes need to be carbon dated. That shit is straight up archeological.,women mad husbands mess left yesterday week call husband indiana jones messes carbon dated shit straight archeological ,3,day time work home house,-0.67,N+,0.09,AGREEMENT,306,13,49,368
214098,i am a make-up artist but i HATE putting make-up on myself! its soooooooo time consuming. now that i have kids...having perfect eyebrows just seems STUPID! but i have to do it every day for work. ugh.,make artist hate putting make soooooooo time consuming kids perfect eyebrows stupid day work ugh ,3,day time work home house,N,N,N,N,281,18,65,364
224331,"When I find Legos around the house, I just throw them away. It's not like we'll ever run out.",find legos house throw ll run ,3,day time work home house,N,N,N,N,318,4,15,337
15903,I totally DO NOT feel like working today. I have been goofing off all day.,totally feel working today goofing day ,3,day time work home house,-0.6,N,0,AGREEMENT,161,97,39,297
243795,I'm looking forward to the hurricane that's supposed to hit us soon. Yay for an excuse not to go outside. Hopefully the power will go out too and DH will have to cook on the BBQ.,forward hurricane supposed hit yay excuse power dh cook bbq ,3,day time work home house,0.6,P,0,AGREEMENT,161,97,39,297
195193,My favorite time of the day is when everyone else in the house is asleep and there is no one talking or touching me.,favorite time day house asleep talking touching ,3,day time work home house,0.6,P,0,AGREEMENT,39,5,245,289
58908,Got grandma to chaperon school trip tomorrow - bonus it is near my office so then she is coming to take me to lunch!,grandma chaperon school trip tomorrow bonus office coming lunch ,3,day time work home house,0.8,P+,0,AGREEMENT,0,267,3,270
