PostID,Text,Keywords,TopicNum,TopicText,sentiment,sentiment_tag,polarity,polarity_tag,Likes,Hugs,Metoos,Overall
101452,So now MQueary says he let Sandusky finish before he left the locker room but didn't intervene. So you WATCHED him rape the boy then left?? You should get the same treatment in prison.,mqueary sandusky finish left locker room didn intervene watched rape boy left treatment prison ,8,dd ds night dh bed,N,N,N,N,498,4,13,515
168109,"It REALLY pisses me off when DS 18mo cries in the middle of the night and when I don't come right away his cries change volume, pitch and frequency accordingly. I love you son, but you make me want to fucking throw things.",pisses ds mo cries middle night don cries change volume pitch frequency love son make fucking throw things ,8,dd ds night dh bed,-0.35,N,0.8,DISAGREEMENT,7,3,483,493
288369,when I was about 11..My grandfather would always scratch my back&one day kept rubbing my side boob. I weirded out & left the room. Not sure what would happen if I stayed,grandfather scratch back day rubbing side boob weirded left room happen stayed ,8,dd ds night dh bed,N,N,N,N,7,3,483,493
11930,My 4 year old still sleeps in our bed. And I like it.,year sleeps bed ,8,dd ds night dh bed,0.6,P,0,AGREEMENT,4,453,4,461
232531,"Just discovered how much easier it is to fight with DH by text. I can finally have my say, I will never fight over the phone again. Try to interrupt me now you bastard!",discovered easier fight dh text finally fight phone interrupt bastard ,8,dd ds night dh bed,-0.3,N,0.7,DISAGREEMENT,327,23,44,394
234388,Smoked a bowl and a huge black pole last night at strip club I went alone to. Told DH it was a boring girls night out.,smoked bowl huge black pole night strip club told dh boring girls night ,8,dd ds night dh bed,-0.6,N,0,AGREEMENT,367,7,9,383
46173,"1hour of sleep last night and cleaning crud all day today?!?!? Fuck my step daughter, the barking dogs, farting snoring husband and crying baby... Im takin a xanax tonight!",hour sleep night cleaning crud day today fuck step daughter barking dogs farting snoring husband crying baby im takin xanax tonight ,8,dd ds night dh bed,-0.65,N+,0.1,AGREEMENT,219,11,122,352
222141,"Tired of waiting for a ring after 7 years, a house and a kid. Sometimes wish he would walk away because I don't have the strength to.",tired waiting ring years house kid walk don strength ,8,dd ds night dh bed,-0.6,N,0,AGREEMENT,18,12,316,346
232040,I've been smoking pot for over 20 yrs and am afraid of the day I'll have to stop because my kids will figure out what's up.,ve smoking pot yrs afraid day ll stop kids figure ,8,dd ds night dh bed,-0.6,N,0,AGREEMENT,6,0,314,320
121529,"Co sleeping always freaked me out. I had my ds in his bassinet in his own room from 6 weeks on. Don't get me wrong, if it's your thing, I respect that. Just wasn't our thing.",sleeping freaked ds bassinet room weeks don wrong thing respect wasn thing ,8,dd ds night dh bed,0.6,P,0,AGREEMENT,11,0,284,295
