PostID,Text,Keywords,TopicNum,TopicText,sentiment,sentiment_tag,polarity,polarity_tag,Likes,Hugs,Metoos,Overall
222961,"I had a great, sweet, kind kid who was everything a mother could ask for. Then, he turned 13 and almost overnight became sneaky, disrespectful and overall a real pain in the ass to live with. I hope it's just a phase.",great sweet kind kid mother turned overnight sneaky disrespectful real pain ass live hope phase ,7,baby back year son school,0.03,NEU,0.81,DISAGREEMENT,712,28,72,812
234432,"Been married over a year & haven't been able to have sex.Too scared,we have tried but it doesnt work.Husband has bought stuff to make 'down there' bigger but Im terrified of using it.Feel so bad about myself & for him",married year haven sex scared doesnt work husband bought stuff make bigger im terrified feel bad ,7,baby back year son school,-0.47,N,0.61,DISAGREEMENT,139,543,34,716
180388,I would totally screw Dr. Phil's brains out.,totally screw dr phil brains ,7,baby back year son school,N,N,N,N,519,128,11,658
234429,My roommate - who is supposed to be staying here to help me during my high-risk pregnancy - has her panties in a bunch AGAIN over something I said. I don't really care. Just want her to leave.,roommate supposed staying high risk pregnancy panties bunch don care leave ,7,baby back year son school,0.4,P,0,AGREEMENT,146,85,247,478
258839,"Most of the time, I dont like my 7 year old. She's just not nice.",time dont year nice ,7,baby back year son school,-0.6,N,0,AGREEMENT,146,85,247,478
138104,I let my mom watch my son so she'll be nice to me,mom watch son ll nice ,7,baby back year son school,0.6,P,0,AGREEMENT,380,11,9,400
205483,"Looking at them and realise that you probably won't need that college fund for them after all. Let's face it, not all kids are smart. Some are indeed destined to ask if you,"" want fries with that"".",realise won college fund face kids smart destined fries ,7,baby back year son school,-0.6,N,0,AGREEMENT,308,77,10,395
234435,I'm an empty nester who rarely calls my sisters bcuz they're caught up in teenager drama and post HS psychosis. I can't wait till their kids stop being aholes so we can hang again. Mine'll prolly become asses again then,empty nester rarely calls sisters bcuz caught teenager drama post hs psychosis wait till kids stop aholes hang mine ll prolly asses ,7,baby back year son school,-0.7,N+,0.1,AGREEMENT,164,22,170,356
201121,Sometimes I could swear my 3 year old son is retarded.,swear year son retarded ,7,baby back year son school,-0.7,N+,0.1,AGREEMENT,48,3,304,355
233382,The only good thing about knowing I have to abort this baby: its ok to give in to the pregnancy cravings without worry of eating things that are bad for the baby or gaining too much weight eating shit for 9 months.,good thing knowing abort baby give pregnancy cravings worry eating things bad baby gaining weight eating shit months ,7,baby back year son school,0.73,P+,0.09,AGREEMENT,307,38,9,354
