Keywords,Frequency_all,Keyword,Frequency_topic
feel,21156,feel,20419
make,9581,make,7888
bad,8649,bad,7692
life,11364,life,7520
kids,28533,kids,5454
love,19390,love,4783
makes,6573,makes,4260
dh,30943,dh,3972
hate,17135,hate,3937
time,20528,time,3759
things,5114,things,3637
husband,17176,husband,3623
care,5400,care,3368
people,10332,people,3072
day,16246,day,2452
hard,4756,hard,2431
good,9704,good,2416
sad,3558,sad,2384
mom,10533,mom,2225
feeling,2913,feeling,2220
doesn,6971,doesn,2144
anymore,3672,anymore,2023
heart,2359,heart,1981
guilty,2151,guilty,1884
work,12490,work,1742
back,9742,back,1739
today,11606,today,1717
hurt,2150,hurt,1687
baby,9659,baby,1669
afraid,2114,afraid,1658
sex,11113,sex,1654
son,7593,son,1578
understand,1823,understand,1550
wrong,3343,wrong,1442
end,2297,end,1437
cry,2277,cry,1425
year,7901,year,1409
years,8350,years,1400
happy,5427,happy,1378
shit,7683,shit,1376
leave,5171,leave,1370
tired,5398,tired,1351
fucking,8433,fucking,1319
horrible,1952,horrible,1309
family,6440,family,1307
stop,5979,stop,1301
dd,11106,dd,1298
real,2275,real,1285
ve,10421,ve,1255
give,4932,give,1240
